week_ending_date,Invoice #,Invoice Date,Due Date,Vendor Name,Description,Bread 4311,Food 4312,Sides 4313,Paper 4314,Beverage 4316,Catering 4320,Operating Supplies 5220,Fuel Surcharge,Discounts,Delivery Charges,Tax,Invoice Totals,Aprons-Floor Mats 5285
07/15/2014,604278150 (1396664),07/10/2014,0,Sysco Food Services,0,529.02,1876.0817,406.45,87.12,339.54,0.0,59.89,6.5,0,0,4.94,3309.5417,0.0
07/15/2014,0729652 (1396667),07/10/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
07/15/2014,0729975 (1401675),07/14/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
07/22/2014,0730164 (1407291),07/16/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
07/22/2014,0730427 (1407292),07/19/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
07/22/2014,604344764 (1407310),07/17/2014,0,Sysco Food Services,0,510.49,2213.2238,352.37,222.37,71.53,0.0,43.9,6.5,0,0,3.62,3424.0038,0.0
07/22/2014,0730710 (1412114),07/22/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
07/29/2014,604419868 (1416564),07/24/2014,0,Sysco Food Services,0,571.17,2039.6619,573.98,211.92,397.51,0.0,31.98,6.5,0,0,9.16,3841.8819,0.0
07/29/2014,0731012 (1418506),07/26/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
07/29/2014,072514 (1418509),07/26/2014,0,Local SuperMarket,0,0.0,21.98,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,21.98,0.0
07/29/2014,0731091 (1421047),07/28/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
08/05/2014,604502341 (1427184),07/31/2014,0,Sysco Food Services,0,534.11,2329.2835,406.5,225.43,95.91,0.0,95.67,6.5,0,0,9.55,3702.9535,0.0
08/05/2014,0731615 (1435179),08/02/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
08/05/2014,0731767 (1435184),08/04/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
08/12/2014,0732039 (1437654),08/07/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
08/12/2014,604587558 (1437666),08/07/2014,0,Sysco Food Services,0,510.49,2423.7972,524.68,268.11,246.26,44.85,31.98,6.5,0,0,2.64,4059.3072,0.0
08/12/2014,080614 (1439593),08/07/2014,0,Local SuperMarket,0,0.0,21.98,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,21.98,0.0
08/12/2014,0732230 (1439597),08/09/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
08/12/2014,0732502 (1445844),08/12/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
08/12/2014,Transfer OUT - 102265,08/06/2014,08/06/2014,"1393 - E Beltline Rd, Richardson, TX  ",0,0.0,0.0,0.0,-22.4167,0.0,0.0,0.0,0.0,0,0,0.0,-22.4167,0.0
08/19/2014,0732750 (1449964),08/15/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
08/19/2014,604676116 (1449978),08/14/2014,0,Sysco Food Services,0,571.17,2192.5598,502.47,100.42,272.19,0.0,87.8,6.5,0,0,7.24,3740.3498,0.0
08/19/2014,0732936 (1456746),08/18/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
08/26/2014,081814 (1460822),08/21/2014,0,Local SuperMarket,0,0.0,21.98,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,21.98,0.0
08/26/2014,0733211 (1460824),08/21/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
08/26/2014,604770528 (1460832),08/21/2014,0,Sysco Food Services,0,608.23,2339.1996,481.06,333.13,261.16,0.0,31.98,6.5,0,0,9.16,4070.4196,0.0
