week_ending_date,Category,Beginning Inventory USD,Purchases USD,Ending Inventory USD,COGS Prcnt as Decimal
06/09/2020,Beverage 4316,258.6164,348.96,506.7261,0.005766907825816453
06/09/2020,Catering 4320,146.2433,0.0,125.9961,0.0011577926504023387
06/09/2020,Operating Supplies 5220,0.0,0.0,0.0,0.0
06/09/2020,Sub Total COGS,2828.4817,4763.5648,3583.3482999999997,0.22922879774196353
06/09/2020,Discounted COGS,0.0,0.0,0.0,0.22922879774196353
06/16/2020,Bread 4311,216.11780000000002,595.28,241.6703,0.03299124734713258
06/16/2020,Food 4312,2032.5664,2360.8358000000003,2281.8570999999997,0.12227337925363586
06/16/2020,Sides 4313,373.49019999999996,535.8100000000001,357.006,0.03198173611171431
06/16/2020,Paper 4314,231.40120000000002,268.4026,285.49649999999997,0.012409906740671897
06/16/2020,Produce 4315,97.05050000000001,450.8902,284.65540000000004,0.015246078967864469
06/16/2020,Beverage 4316,506.7261,280.84000000000003,363.2276,0.024572197080904853
06/16/2020,Catering 4320,125.9961,36.39,151.0559,0.0006560986273130247
06/16/2020,Operating Supplies 5220,0.0,0.0,0.0,0.0
06/16/2020,Sub Total COGS,3583.3482999999997,4528.448600000001,3964.9687999999996,0.24013064412923704
06/16/2020,Discounted COGS,0.0,0.0,0.0,0.240130644129237
06/23/2020,Bread 4311,241.6703,581.16,254.3012,0.031638313288413114
06/23/2020,Food 4312,2281.8570999999997,2819.0275999999994,2768.7599,0.12978138682800536
06/23/2020,Sides 4313,357.006,533.3699999999999,306.774,0.03247711139455213
06/23/2020,Paper 4314,285.49649999999997,226.45,291.8963,0.01224566546686522
06/23/2020,Produce 4315,284.65540000000004,182.11999999999998,175.6352,0.0162017825621437
06/23/2020,Beverage 4316,363.2276,370.49,457.41810000000004,0.015375906250765172
06/23/2020,Catering 4320,151.0559,0.0,124.4683,0.0014795844546690977
06/23/2020,Operating Supplies 5220,0.0,0.0,0.0,0.0
06/23/2020,Sub Total COGS,3964.9687999999996,4712.617599999999,4379.253000000001,0.2391997502454138
06/23/2020,Discounted COGS,0.0,0.0,0.0,0.23919975024541376
06/30/2020,Bread 4311,254.3012,623.52,278.00050000000005,0.03134942109056472
06/30/2020,Food 4312,2768.7599,2313.9637000000002,2783.6323000000007,0.12016121032394153
06/30/2020,Sides 4313,306.774,589.12,219.30289999999997,0.035361799451116616
06/30/2020,Paper 4314,291.8963,305.58,381.48900000000003,0.011288501410361678
06/30/2020,Produce 4315,175.6352,390.8802,209.60520000000002,0.01865378795916458
06/30/2020,Beverage 4316,457.41810000000004,91.03,307.72830000000005,0.012581136954820866
06/30/2020,Catering 4320,124.4683,75.9,146.3151,0.0028250717724355176
06/30/2020,Operating Supplies 5220,0.0,0.0,0.0,0.0
06/30/2020,Sub Total COGS,4379.253000000001,4389.9938999999995,4326.073300000001,0.23222092896240548
06/30/2020,Discounted COGS,0.0,0.0,0.0,0.23222092896240548
07/07/2020,Bread 4311,278.00050000000005,591.18,339.8669,0.033094593208936374
07/07/2020,Food 4312,2783.6323000000007,2279.6247000000008,2959.913,0.13150864451330388
07/07/2020,Sides 4313,219.30289999999997,758.12,461.2961,0.032270106965379436
07/07/2020,Paper 4314,381.48900000000003,244.43,405.5052,0.01378106485198163
07/07/2020,Produce 4315,209.60520000000002,202.0,133.7381,0.017373252152687643
07/07/2020,Beverage 4316,307.72830000000005,495.14,578.1337000000001,0.01405121683435497
07/07/2020,Catering 4320,146.3151,72.03999999999999,206.64690000000002,0.0007320388446638592
07/07/2020,Operating Supplies 5220,0.0,0.0,0.0,0.0
07/07/2020,Sub Total COGS,4326.073300000001,4642.5347,5085.099899999999,0.2428109173713078
07/07/2020,Discounted COGS,0.0,0.0,0.0,0.24281091737130775
07/14/2020,Bread 4311,339.8669,506.46000000000004,290.2526,0.032095325386376654
07/14/2020,Food 4312,2959.913,2063.7289,2722.1197999999995,0.13283854456758198
07/14/2020,Sides 4313,461.2961,498.03,423.7476,0.030912355106947998
07/14/2020,Paper 4314,405.5052,160.69,366.6791,0.011515608884138079
07/14/2020,Produce 4315,133.7381,373.88190000000003,221.1178,0.016536245845047617
07/14/2020,Beverage 4316,578.1337000000001,126.55,449.48980000000006,0.014729203016788341
07/14/2020,Catering 4320,206.64690000000002,0.0,180.8053,0.0014915175193397571
07/14/2020,Operating Supplies 5220,0.0,0.0,0.0,0.0
07/14/2020,Sub Total COGS,5085.099899999999,3729.3408,4654.2119999999995,0.24011880032622046
07/14/2020,Discounted COGS,0.0,0.0,0.0,0.24011880032622035
07/21/2020,Bread 4311,290.2526,567.04,272.8751,0.03222082735137733
07/21/2020,Food 4312,2722.1197999999995,2278.7382,2916.2362000000007,0.11493194353474595
07/21/2020,Sides 4313,423.7476,619.5,358.9608,0.03772694493513022
07/21/2020,Paper 4314,366.6791,196.77999999999997,333.1112,0.012699824896845716
07/21/2020,Produce 4315,221.1178,340.0,254.1668,0.016923201609008325
07/21/2020,Beverage 4316,449.48980000000006,365.14000000000004,615.8578,0.010958943382578345
07/21/2020,Catering 4320,180.8053,37.32,156.7079,0.003386139945793002
07/21/2020,Operating Supplies 5220,0.0,0.0,0.0,0.0
